,l,vargg,var_ig,cov
,417,2.2802983195882325e-07,1.9502616631457197e-15,-7.880218826449894e-15
,418,2.1918069130219452e-07,1.9782148121275115e-15,8.975643437958785e-15
,419,2.497045508047453e-07,2.2713461249308082e-15,1.8617957432056892e-14
,420,2.4915469939877906e-07,2.1761790545882627e-15,1.2817903539609738e-14
,421,2.3965309576477483e-07,2.1730670105138184e-15,1.204717963658077e-14
,422,2.2619666586116818e-07,2.1713858171137725e-15,2.3352555008191762e-14
,423,2.2470860584652647e-07,2.263360770370779e-15,3.915440832707731e-15
,424,2.1149619970704062e-07,1.9924853334285254e-15,4.891068179603478e-16
,425,2.4258595595174347e-07,2.2952566574111036e-15,-4.722344300900993e-15
,426,2.3454073166486823e-07,2.1337828693644333e-15,1.6840425538913114e-14
,427,2.4162517971830724e-07,2.3813895104423604e-15,-1.7226093384867325e-14
,428,2.395086902340123e-07,2.1489927215023565e-15,1.3261023625431661e-14
,429,2.311181021246859e-07,1.9757308124449222e-15,4.681852923213584e-15
,430,2.4039202591382646e-07,1.922894773623325e-15,-1.5462415077592644e-14
,431,2.4946777862580325e-07,2.2033454207830973e-15,-1.2612014172393304e-15
,432,2.268060509354371e-07,1.8874205637017133e-15,-7.653770854077659e-15
,433,2.335559318910242e-07,2.088569840576048e-15,6.376247140164843e-16
,434,2.3771784358792641e-07,1.7644792419505473e-15,1.0238242751660129e-16
,435,2.416047205173207e-07,2.026963000484331e-15,3.944643159032991e-15
,436,2.2396943636008973e-07,1.8795461973540803e-15,-2.7454572274839174e-15
,437,2.239239581273309e-07,2.0115152725994403e-15,1.0732233055037706e-14
,438,2.2760838251162036e-07,1.8760639506206498e-15,1.248879969908843e-14
,439,2.0483255529023573e-07,1.8962726620375037e-15,-1.195407730028492e-15
,440,2.2423946271154538e-07,1.8999824722109165e-15,1.171797655189323e-14
141,441,2.326216719564507e-07,1.8616579486905496e-15,5.028532516332807e-15
142,442,2.3152484155994874e-07,1.9273274440031754e-15,7.913273870124602e-15
143,443,2.28694170533111e-07,1.8330050079966016e-15,1.9183566304585142e-14
144,444,1.9539635951124793e-07,1.544565375712424e-15,1.0567558793069946e-15
145,445,2.0638250164364987e-07,1.7934119221689815e-15,4.8391311673594096e-15
146,446,1.9450821000383037e-07,1.6687537274970941e-15,4.487910982507858e-15
147,447,2.2271376615897214e-07,1.990181696977035e-15,1.933866259001657e-14
148,448,2.1993916909454246e-07,1.7827081669318206e-15,-2.939278628014135e-15
149,449,2.227028541489495e-07,2.2391622976034834e-15,-3.67884477268439e-15
150,450,2.1407694065008967e-07,1.7572884622898925e-15,1.2158381042942349e-14
151,451,2.1872024692260058e-07,1.911068091181614e-15,5.598324190415374e-15
152,452,2.3919547318478015e-07,2.0627206060745205e-15,1.593288393707739e-14
153,453,2.1564758831897462e-07,1.908173024378347e-15,4.781087109110281e-15
154,454,2.260501271211184e-07,1.869682823686089e-15,1.666723355975843e-14
155,455,2.3593736802808924e-07,2.00445467438225e-15,1.0211267410790908e-14
156,456,2.280516023473262e-07,1.8993807427202188e-15,5.9424011098066726e-15
157,457,2.2430504813992332e-07,1.6865364347523184e-15,1.1537871644776337e-14
158,458,2.0516427456520114e-07,1.6679107632510782e-15,-4.7049599989883504e-15
,459,1.9112533927684798e-07,1.4828488540163512e-15,8.983755350387117e-15
160,460,1.9252745493967704e-07,1.5528459491615025e-15,6.6028867821071896e-15
161,461,1.9508749106789746e-07,1.6659688398071059e-15,2.1134772904612472e-15
162,462,1.9702317788694833e-07,1.5625988913659154e-15,7.872576528122592e-15
163,463,2.2366162873727022e-07,1.7012494127527602e-15,7.872535507643486e-15
164,464,2.176391396260243e-07,1.7203143443159952e-15,2.031749046240161e-14
165,465,1.9939328314425573e-07,1.5186709247083158e-15,1.5175787123639523e-14
166,466,2.2055133802279255e-07,1.846631970834028e-15,1.6139431573378115e-14
167,467,2.101711754108289e-07,1.4882215004353586e-15,6.151913003029774e-15
168,468,2.017597030295975e-07,1.5867883822836048e-15,-2.759438462826766e-15
169,469,1.94138166032775e-07,1.3601882602359274e-15,1.7512138515932957e-15
170,470,2.141083412991282e-07,1.7484111810582898e-15,-9.139707054932736e-15
171,471,2.0237683679285534e-07,1.4386685794689712e-15,-2.9223370856249504e-15
172,472,2.0023573713680548e-07,1.6011861133492364e-15,1.5288494502805095e-14
173,473,1.882627762728856e-07,1.3838148548328216e-15,2.7362930220225222e-15
174,474,2.0642460649041707e-07,1.546152939548136e-15,-6.282290921397586e-15
175,475,1.8844751487130047e-07,1.4307837437523785e-15,3.0515521878462422e-16
176,476,1.9009907519726248e-07,1.3749770449402032e-15,-2.207930452817921e-15
177,477,2.050630844005947e-07,1.3931036926488238e-15,2.2849091478744554e-15
178,478,1.947977692702348e-07,1.4627178604117972e-15,-2.2603925159525188e-15
179,479,1.8489777105395016e-07,1.4017119865988224e-15,-1.3250976641256731e-15
180,480,1.936248701319784e-07,1.3986400111499884e-15,-4.034928015852749e-15
181,481,1.8862615048855712e-07,1.3757640785704907e-15,-3.971335238399764e-17
182,482,1.8736004470165036e-07,1.4170999559147963e-15,-7.494128543804467e-17
183,483,2.0117287121179993e-07,1.6009576060558121e-15,-1.058543590402451e-15
184,484,1.9235973054673503e-07,1.3943005751115434e-15,-1.3130305909029299e-14
185,485,1.8269841718506147e-07,1.3824291279918199e-15,9.128476966899957e-15
186,486,1.7458260744250886e-07,1.1495718205303781e-15,5.429781769743221e-15
187,487,1.9127102022975608e-07,1.4260744438995368e-15,7.13792129695751e-15
188,488,1.9790052378334283e-07,1.338493879465742e-15,4.651172634934681e-15
189,489,2.0115802709623472e-07,1.4550968645701853e-15,1.0588555330135312e-14
190,490,2.1587309550938146e-07,1.60718150736715e-15,6.162602427421062e-15
191,491,1.9875642980871734e-07,1.4592754553454096e-15,4.470960613505319e-16
192,492,1.8954242745008613e-07,1.2855189906518145e-15,-8.457575116367634e-15
193,493,1.851272351346919e-07,1.3443103905485635e-15,1.092141017145447e-14
194,494,2.0159080594915797e-07,1.4170474242060122e-15,6.753106569285008e-16
195,495,1.8733334281307944e-07,1.3110598125141185e-15,8.433279804767061e-15
196,496,2.1477255673388035e-07,1.4757941495673407e-15,3.8466815208538585e-15
197,497,1.9742499459634308e-07,1.3102430553155822e-15,7.472379335876086e-15
198,498,1.840515068404237e-07,1.313489841332605e-15,1.007083529966808e-14
199,499,1.831961005485595e-07,1.4361278517831977e-15,1.518777087859164e-14
200,500,1.880029244136151e-07,1.3250571127726084e-15,1.1665759006041907e-14
201,501,1.8685918750607355e-07,1.2814440555590869e-15,-7.773730866148973e-17
202,502,1.802176725623675e-07,1.274196394166229e-15,8.62991233236145e-15
203,503,1.6616639831077037e-07,1.2376197380834757e-15,2.0919730915307008e-15
204,504,1.8058850357129675e-07,1.3193511321861302e-15,-3.4143441262646918e-15
205,505,1.6804609075859848e-07,1.1236040879968333e-15,9.464902190050273e-15
206,506,1.7884709248701515e-07,1.2859325735883645e-15,2.3884245340201498e-15
207,507,1.7460572267166353e-07,1.1790741789203402e-15,-3.9350353805865025e-15
208,508,1.796761431369268e-07,1.1974576889974538e-15,4.294826465420423e-15
209,509,1.6526930202052735e-07,1.1700438919100128e-15,8.89346032170409e-15
210,510,1.7247264167300662e-07,1.1433854910389523e-15,8.334093825412962e-15
211,511,1.653586760812681e-07,1.0938087941762037e-15,8.252735699491708e-15
212,512,1.6382255444069218e-07,1.081626170042839e-15,5.76605250881083e-15
213,513,1.595786270573684e-07,9.829630427232083e-16,8.321176621130992e-15
214,514,1.7742209049664702e-07,1.2078789447118743e-15,9.941817496106892e-15
215,515,1.790135683753102e-07,1.1343120599248503e-15,-2.9188667532141556e-15
216,516,1.605175749401016e-07,1.0423219039172178e-15,-1.840112476000104e-15
217,517,1.7954554936014757e-07,1.1729913873544622e-15,2.2395637794456806e-15
218,518,1.6143147741675614e-07,1.0216863885497975e-15,4.0437546199346155e-15
219,519,1.6260204072031084e-07,1.1125303077361286e-15,2.645265097871669e-15
220,520,1.6885022334688995e-07,1.1513759675984504e-15,-1.4092072275882479e-15
221,521,1.7759752399162977e-07,1.2239513268365891e-15,3.787447764217348e-15
222,522,1.6750933980910168e-07,1.1704302563784935e-15,1.3252643411612111e-15
223,523,1.6201302836061507e-07,1.112998295979517e-15,-4.468407437339751e-15
224,524,1.8267978154547886e-07,1.3266873708585857e-15,-3.315949677002411e-16
225,525,1.6034138345386257e-07,1.0834150510335272e-15,-4.900662807491212e-17
226,526,1.7801091247729588e-07,1.2228864062114362e-15,5.700995878834091e-15
227,527,1.7725342446964555e-07,1.1714254063687977e-15,8.201367607954265e-15
228,528,1.87236189187886e-07,1.2393492231601364e-15,-2.0912444004606656e-15
229,529,1.8699768236810832e-07,1.1775561721438986e-15,8.751750887910462e-16
230,530,1.7686195645374275e-07,1.1455738507667299e-15,7.665605428516198e-16
231,531,1.7099098885229232e-07,1.1216090507614814e-15,9.000496263366615e-16
232,532,1.7534304231858866e-07,1.0762722141232192e-15,6.757721690739923e-15
233,533,1.5565234831721137e-07,9.88868427840978e-16,4.324407572319027e-15
234,534,1.711762807845423e-07,1.0739663216775814e-15,-7.035608558577889e-15
235,535,1.5815627570620334e-07,1.0259210696293925e-15,6.930066129463384e-15
236,536,1.5236125916239407e-07,9.72317165825184e-16,1.7137815156532663e-15
237,537,1.6886398798081114e-07,1.0441954301697797e-15,1.1961049012657317e-14
238,538,1.6672975971284287e-07,1.0656742933695046e-15,-6.588556351884615e-16
239,539,1.5992947611351666e-07,9.041247896626617e-16,1.9283001697742144e-15
240,540,1.601588182162431e-07,9.492673896207086e-16,6.667461109232116e-15
241,541,1.5828697939477418e-07,1.0517939896003782e-15,-2.6647380487433875e-15
242,542,1.511609922390333e-07,8.949999530352965e-16,3.116730132905086e-15
243,543,1.536367767716834e-07,9.58502720244121e-16,-3.1095786339145323e-15
244,544,1.6179001281388242e-07,9.72124636523461e-16,-1.7158784380924906e-15
245,545,1.5615364280236774e-07,9.895147198615856e-16,4.200473659234274e-15
246,546,1.547609775297918e-07,9.307458671100987e-16,3.1173709240985507e-15
247,547,1.5160972408921978e-07,9.794306275037188e-16,-3.968430361968002e-15
248,548,1.6761514359163952e-07,9.94675744426005e-16,-4.393196620757304e-15
249,549,1.6125170736048347e-07,9.514837574055388e-16,-3.926608908209083e-16
250,550,1.5987826832481883e-07,9.469560661861305e-16,-4.241269070378293e-15
251,551,1.6372700780918806e-07,9.284243276434731e-16,-2.5272679191107756e-15
252,552,1.62613193949283e-07,9.623622461142316e-16,1.4178681525097113e-15
253,553,1.630927376977502e-07,9.228905328940877e-16,5.27976058716321e-15
254,554,1.690928480669189e-07,9.964430711421605e-16,1.2674295658246253e-15
255,555,1.4171909091544262e-07,7.935990413252654e-16,1.4021962981033586e-15
256,556,1.587961002513532e-07,8.832621545178e-16,-4.307135515900899e-15
257,557,1.474845564438249e-07,7.736412030300035e-16,-1.42306535456911e-15
258,558,1.439035680632476e-07,8.62833327292398e-16,-3.3626750152609564e-16
259,559,1.5952382077542383e-07,9.424394740640198e-16,-8.798086451510408e-15
260,560,1.5444753612392218e-07,8.132039031542283e-16,2.8399723716593707e-15
261,561,1.5521563509096147e-07,8.2974019016300185e-16,2.268471758287577e-15
262,562,1.5259214567957492e-07,8.506386437945594e-16,2.0062147745815655e-15
263,563,1.5872376668344096e-07,8.495028562312174e-16,9.697826548135583e-16
264,564,1.6281056415922318e-07,9.853051991369218e-16,1.214635888248504e-15
265,565,1.5043528838049972e-07,7.917836623929549e-16,2.2776001727529618e-15
266,566,1.4924292779409228e-07,8.691202371376794e-16,-4.227357293715558e-15
267,567,1.4811957761185452e-07,8.07348392609863e-16,1.9615264588522504e-15
268,568,1.4497961988428303e-07,8.167359210763371e-16,-2.23234952494315e-15
269,569,1.5165961009991213e-07,7.608778917113004e-16,-6.563397486071603e-16
270,570,1.5811250675757538e-07,9.615435086029445e-16,4.1076281954663016e-15
271,571,1.5557952067943676e-07,8.529731843905349e-16,-5.088387551111213e-15
272,572,1.7125322204857942e-07,9.20924534905235e-16,9.875653584712771e-16
273,573,1.5252595146137054e-07,8.54582942747373e-16,5.548466027942218e-15
274,574,1.534187391187777e-07,8.272196459602938e-16,-5.0409830156836635e-15
275,575,1.5177037577909527e-07,8.08075182878831e-16,3.538159033990275e-15
276,576,1.4378786592314463e-07,7.682748743635665e-16,1.3917044318183312e-15
277,577,1.4996830688927663e-07,8.41883372903955e-16,1.9256506709862674e-15
278,578,1.3982013905692537e-07,7.391546761534404e-16,5.964894029768774e-15
279,579,1.447950002001648e-07,8.772473821487822e-16,-9.820646716291589e-16
280,580,1.4879778195801926e-07,7.683487489270592e-16,7.451578659082849e-16
281,581,1.6403753493567765e-07,8.989181244723362e-16,8.288080634774656e-17
282,582,1.5969381792810432e-07,8.1701254582464e-16,6.348364999975277e-15
283,583,1.665267327337174e-07,9.045462298180332e-16,2.54962504089541e-15
284,584,1.516355141678334e-07,8.332054508269274e-16,-1.9394668255700002e-15
285,585,1.585898755994437e-07,7.8065445668047475e-16,9.24676562055752e-15
286,586,1.3225823488113825e-07,7.142721300696334e-16,2.7196227416535023e-16
287,587,1.3137673838544933e-07,6.678303966598447e-16,2.8818200554244087e-15
288,588,1.3909557216220308e-07,6.623193240863362e-16,1.2180848311377007e-15
289,589,1.4000806311870876e-07,7.595762167538929e-16,-1.4983108878599871e-15
290,590,1.4156666254530407e-07,7.079081511973511e-16,4.3035230026432485e-15
291,591,1.492473128695887e-07,8.649299728031059e-16,-4.314793030013048e-17
292,592,1.449506499640996e-07,7.638908233763258e-16,6.263218328831952e-15
293,593,1.4583379804773157e-07,8.028772965236059e-16,-3.4116893315168822e-15
294,594,1.399323696758706e-07,7.547191992680649e-16,2.800978615026496e-15
295,595,1.4604317516446273e-07,7.70660329712989e-16,8.207191493708303e-16
296,596,1.3524235351642347e-07,7.036582037121751e-16,3.3498398321059514e-15
297,597,1.3656562929665e-07,7.013917988692003e-16,-1.598329437188629e-15
298,598,1.3736031602504122e-07,7.47816858834724e-16,-5.400391677569196e-15
299,599,1.3251438585441443e-07,6.554946065466574e-16,2.964149629856019e-15
300,600,1.3944670733237339e-07,7.72194194271935e-16,1.2991598362341642e-15
301,601,1.379659253102516e-07,6.332903778834241e-16,4.343982556726093e-15
302,602,1.424285531037207e-07,7.598454794110702e-16,1.826342552108233e-15
303,603,1.3958725450636952e-07,7.052858284107764e-16,9.869208728999057e-15
304,604,1.366478330782665e-07,7.311017303473206e-16,7.908546561045538e-15
305,605,1.4138065698405668e-07,7.018394526759609e-16,9.36736737085871e-16
306,606,1.3836748728111216e-07,7.075202246780994e-16,-7.451399842444102e-16
307,607,1.3256087926938904e-07,6.256531578621712e-16,4.1026539145235594e-16
308,608,1.4277924533535072e-07,7.126450726138513e-16,-5.489860178790385e-15
309,609,1.4289304730556774e-07,6.958373890925925e-16,5.9015992629504964e-15
310,610,1.3792882481022845e-07,7.373734168519241e-16,-7.340846322127009e-16
311,611,1.4014046172374552e-07,7.031519289528165e-16,-1.4425819585541512e-15
312,612,1.4344747502642568e-07,7.082142850368726e-16,3.7998448753876265e-16
313,613,1.4548131047242756e-07,7.102515268189383e-16,2.4489327443452814e-15
314,614,1.2977506629092788e-07,6.472162853221063e-16,-1.9042605507780837e-15
315,615,1.5016831855316486e-07,7.462097314396594e-16,-5.55092449849993e-16
316,616,1.3919503127805305e-07,6.455759719067164e-16,2.0372305644663755e-15
317,617,1.3383700184390442e-07,6.437448321371391e-16,-2.395169797044257e-16
318,618,1.502471052494999e-07,7.2119553927950955e-16,4.511759263537413e-15
319,619,1.407395533713804e-07,6.959980831020773e-16,2.7063473784843676e-16
320,620,1.3783389211035693e-07,6.204033606061442e-16,4.697826907742794e-15
321,621,1.3685699683837156e-07,6.636643016511133e-16,2.3336151933612124e-15
322,622,1.3506121608724983e-07,6.14900166454866e-16,1.6096831008704893e-15
323,623,1.302696498058174e-07,6.385690590815589e-16,4.325219178794861e-15
324,624,1.2744272610902248e-07,6.1071193564921405e-16,-3.3352703001333232e-15
325,625,1.2908748875342484e-07,5.676694329690695e-16,-2.1759261126002214e-15
326,626,1.2208114370501896e-07,6.042988306643706e-16,1.3849589378313862e-15
327,627,1.285769297247581e-07,5.782431449928765e-16,4.789670184281974e-17
328,628,1.2081838107568496e-07,5.673483196646973e-16,-9.517874074913514e-16
329,629,1.2553197051752028e-07,6.314201037677754e-16,-1.692374175772775e-15
330,630,1.2440152652682972e-07,5.853687776966672e-16,-2.072898883842317e-15
331,631,1.307876958988977e-07,6.243124064480396e-16,3.607380141129251e-16
332,632,1.2532121531728253e-07,5.916408220596575e-16,-7.559434745016233e-16
333,633,1.3369307467519872e-07,6.47346330127309e-16,4.706829683092233e-15
334,634,1.2912884365947998e-07,6.151229911429651e-16,7.89749853262621e-16
335,635,1.3051740452530396e-07,6.006325476355359e-16,2.7830440499960754e-15
336,636,1.2873710598836313e-07,6.186851816175557e-16,1.0682159287385266e-15
337,637,1.280596038376624e-07,6.224447062810064e-16,3.016081264667847e-15
338,638,1.2619870919271641e-07,5.858586595010258e-16,4.2238965626615e-15
339,639,1.2435672540163194e-07,6.05530862437846e-16,1.5258751328349659e-15
340,640,1.3527087699984573e-07,6.222132993601865e-16,1.0407159032381898e-15
341,641,1.2488762057728757e-07,5.637852877541396e-16,-4.3962385503585795e-16
342,642,1.2600790034328605e-07,6.146946051841481e-16,-2.0166732898512724e-15
343,643,1.2589275814502803e-07,6.222536017843182e-16,2.3626436407303134e-15
344,644,1.2523958578589388e-07,5.563814967169011e-16,2.0561371738359423e-15
345,645,1.2887247606638927e-07,6.339239560201498e-16,8.623544770184813e-16
346,646,1.2831244547619477e-07,5.849494769967231e-16,2.657773589251537e-15
347,647,1.2032889876277913e-07,5.37267532551639e-16,2.773276683383028e-15
348,648,1.3092686268907848e-07,5.855562574592097e-16,5.410969749756375e-15
349,649,1.222459283495456e-07,5.476276446661594e-16,-2.0832613241722658e-16
350,650,1.204138738263606e-07,5.03752076801637e-16,3.526792026590444e-15
351,651,1.2031435184995373e-07,5.579900561227279e-16,3.5427398228995767e-15
352,652,1.2219367465537853e-07,5.512600537696394e-16,2.71541229079058e-15
353,653,1.3007309806251158e-07,5.881259659362428e-16,3.845236186687132e-15
354,654,1.229086278503545e-07,5.109853817414046e-16,2.251737455818384e-16
355,655,1.2741624084902173e-07,5.860562397056231e-16,2.393209067956311e-15
356,656,1.2551557955099872e-07,5.576991634963214e-16,5.479591432310556e-16
357,657,1.2294455056932483e-07,5.386561608013112e-16,-9.881267751557164e-17
358,658,1.250717657721919e-07,5.736563956789186e-16,5.365244384692366e-15
359,659,1.2140154319722895e-07,5.215423134433976e-16,7.059195699454572e-16
360,660,1.1932166410261152e-07,4.792472459642513e-16,1.8058987114860367e-15
361,661,1.1717884034460393e-07,4.879956893344754e-16,2.4604866273966988e-15
