L,cov1,cov2
549,[8.56524031e-08 1.07020768e-15],[1.07020768e-15 2.43948447e-16]
550,[8.94383539e-08 2.58642639e-16],[2.58642639e-16 2.37103074e-16]
551,[8.49745578e-08 7.50680222e-16],[7.50680222e-16 2.34070567e-16]
552,[ 9.05145230e-08 -9.39518456e-16],[-9.39518456e-16  2.39111697e-16]
553,[ 9.01893648e-08 -2.89044776e-16],[-2.89044776e-16  2.38511651e-16]
554,[8.83377844e-08 1.40573254e-15],[1.40573254e-15 2.53356151e-16]
555,[9.04452267e-08 1.35997151e-15],[1.35997151e-15 2.54228204e-16]
556,[8.99451527e-08 2.83182471e-15],[2.83182471e-15 2.70764634e-16]
557,[ 8.95260008e-08 -8.83504260e-17],[-8.8350426e-17  2.5365233e-16]
558,[8.93548356e-08 7.20602707e-16],[7.20602707e-16 2.68982768e-16]
559,[8.71831675e-08 3.30496239e-15],[3.30496239e-15 2.41161963e-16]
560,[9.07035720e-08 1.60902696e-15],[1.60902696e-15 2.58928812e-16]
561,[8.98809313e-08 1.72917398e-15],[1.72917398e-15 2.34576820e-16]
562,[9.00535694e-08 3.67186276e-15],[3.67186276e-15 2.36435659e-16]
563,[ 8.96603287e-08 -7.07161760e-16],[-7.07161760e-16  2.35812367e-16]
564,[9.24025632e-08 8.71825296e-16],[8.71825296e-16 2.38247009e-16]
565,[ 9.44160799e-08 -2.92427339e-16],[-2.92427339e-16  2.66734453e-16]
566,[9.22832895e-08 1.07248780e-15],[1.07248780e-15 2.43360287e-16]
567,[9.13037024e-08 1.82413593e-15],[1.82413593e-15 2.49705664e-16]
568,[8.75683144e-08 2.22625250e-15],[2.22625250e-15 2.35512765e-16]
569,[ 9.15472531e-08 -7.35507501e-17],[-7.35507501e-17  2.51981845e-16]
570,[ 8.86986802e-08 -1.50728047e-16],[-1.50728047e-16  2.43260033e-16]
571,[8.84280493e-08 5.67609432e-16],[5.67609432e-16 2.34908948e-16]
572,[ 9.63162970e-08 -7.08598291e-17],[-7.08598291e-17  2.60904347e-16]
573,[ 8.87912699e-08 -2.68710076e-16],[-2.68710076e-16  2.26059549e-16]
574,[8.30835808e-08 5.12030144e-16],[5.12030144e-16 2.06761403e-16]
575,[8.48060746e-08 1.32278734e-15],[1.32278734e-15 2.19919227e-16]
576,[8.03467680e-08 8.17822755e-16],[8.17822755e-16 2.03828133e-16]
577,[8.34275043e-08 2.65336403e-16],[2.65336403e-16 2.15455925e-16]
578,[8.37983219e-08 1.46378951e-15],[1.46378951e-15 2.16737220e-16]
579,[8.58830482e-08 2.50872364e-16],[2.50872364e-16 2.12042393e-16]
580,[8.51952902e-08 7.41336195e-16],[7.41336195e-16 2.11928275e-16]
581,[8.41307583e-08 6.53110693e-16],[6.53110693e-16 2.15121674e-16]
582,[8.34687380e-08 7.55334373e-17],[7.55334373e-17 2.13959669e-16]
583,[ 8.70529847e-08 -1.72742861e-15],[-1.72742861e-15  2.36442536e-16]
584,[8.39985836e-08 1.01049567e-15],[1.01049567e-15 2.20501742e-16]
585,[ 8.60093747e-08 -3.32633731e-16],[-3.32633731e-16  2.11220154e-16]
586,[8.34148063e-08 1.72740624e-15],[1.72740624e-15 2.08452201e-16]
587,[8.60818340e-08 4.61232693e-16],[4.61232693e-16 1.99453009e-16]
588,[ 8.28933448e-08 -3.87712997e-16],[-3.87712997e-16  2.11896211e-16]
589,[ 8.98975623e-08 -9.74750551e-16],[-9.74750551e-16  2.29992271e-16]
590,[ 8.43060387e-08 -5.01851237e-16],[-5.01851237e-16  2.08402302e-16]
591,[8.97179519e-08 1.89925173e-15],[1.89925173e-15 2.27783036e-16]
592,[8.61178859e-08 8.95525690e-16],[8.95525690e-16 2.22859562e-16]
593,[8.40088833e-08 1.81402213e-15],[1.81402213e-15 2.12705602e-16]
594,[ 8.32776235e-08 -1.23723471e-15],[-1.23723471e-15  2.07616907e-16]
595,[8.39168669e-08 5.60207462e-16],[5.60207462e-16 2.22539199e-16]
596,[ 7.93279433e-08 -7.91702158e-16],[-7.91702158e-16  1.87080701e-16]
597,[8.88455188e-08 2.16583434e-15],[2.16583434e-15 2.18837031e-16]
598,[7.97379236e-08 4.43665228e-17],[4.43665228e-17 1.93293810e-16]
599,[8.42433092e-08 2.52553502e-15],[2.52553502e-15 2.05612935e-16]
600,[ 8.35985690e-08 -4.91620225e-16],[-4.91620225e-16  2.13185511e-16]
601,[8.07788192e-08 1.40774843e-15],[1.40774843e-15 2.05237479e-16]
602,[8.67858944e-08 1.61139994e-15],[1.61139994e-15 1.99324102e-16]
603,[8.74137933e-08 3.12903237e-16],[3.12903237e-16 2.06486477e-16]
604,[8.57846557e-08 1.98635468e-16],[1.98635468e-16 2.08706614e-16]
605,[8.33417367e-08 2.61362305e-16],[2.61362305e-16 1.97429341e-16]
606,[8.05818786e-08 1.25913468e-15],[1.25913468e-15 2.05768008e-16]
607,[7.97207676e-08 1.47713930e-15],[1.47713930e-15 2.02715364e-16]
608,[8.44963414e-08 1.49236081e-15],[1.49236081e-15 2.10716446e-16]
609,[8.00604964e-08 3.12978642e-16],[3.12978642e-16 1.92006874e-16]
610,[8.29932322e-08 1.81683638e-15],[1.81683638e-15 2.09011724e-16]
611,[7.94266288e-08 1.31286867e-15],[1.31286867e-15 1.89235974e-16]
612,[7.72725915e-08 2.35058769e-16],[2.35058769e-16 1.88382730e-16]
613,[7.80619646e-08 8.59797430e-16],[8.59797430e-16 1.83467954e-16]
614,[8.37692305e-08 5.39367761e-16],[5.39367761e-16 1.98499568e-16]
615,[8.21427090e-08 1.36526948e-15],[1.36526948e-15 1.97951977e-16]
616,[8.31532073e-08 1.99718022e-15],[1.99718022e-15 1.88787763e-16]
617,[8.42517026e-08 2.29963889e-16],[2.29963889e-16 2.05360261e-16]
618,[8.74334715e-08 3.69202180e-16],[3.69202180e-16 2.03126932e-16]
619,[ 8.06579468e-08 -5.20048785e-16],[-5.20048785e-16  2.03697935e-16]
620,[ 8.65565986e-08 -7.52991539e-17],[-7.52991539e-17  2.15318153e-16]
621,[7.81385290e-08 1.98527088e-15],[1.98527088e-15 1.85761395e-16]
622,[ 8.21180023e-08 -3.00070487e-16],[-3.00070487e-16  1.95792175e-16]
623,[7.95790697e-08 1.68722313e-15],[1.68722313e-15 1.95627929e-16]
624,[ 7.76601668e-08 -4.70749333e-16],[-4.70749333e-16  1.88571447e-16]
625,[7.68062633e-08 6.81453998e-16],[6.81453998e-16 1.73520234e-16]
626,[7.34471697e-08 1.10867558e-15],[1.10867558e-15 1.70692192e-16]
627,[7.14430788e-08 5.15765236e-16],[5.15765236e-16 1.67622369e-16]
628,[7.52103753e-08 1.11431946e-15],[1.11431946e-15 1.73148547e-16]
629,[7.65906418e-08 1.15710908e-15],[1.15710908e-15 1.72286852e-16]
630,[7.90534582e-08 4.70512759e-16],[4.70512759e-16 1.79837818e-16]
631,[7.95318550e-08 7.10391874e-17],[7.10391874e-17 1.79626229e-16]
632,[7.98570028e-08 1.69048642e-15],[1.69048642e-15 1.80065309e-16]
633,[7.32692114e-08 9.82395053e-16],[9.82395053e-16 1.71508203e-16]
634,[7.73308356e-08 7.10077622e-16],[7.10077622e-16 1.84283710e-16]
635,[ 7.72033521e-08 -2.68869238e-16],[-2.68869238e-16  1.78106424e-16]
636,[ 7.49550200e-08 -3.23026072e-17],[-3.23026072e-17  1.62211287e-16]
637,[8.34335700e-08 5.64939291e-18],[5.64939291e-18 1.92981373e-16]
638,[ 7.93959985e-08 -7.24339153e-17],[-7.24339153e-17  1.72360527e-16]
639,[ 7.67588931e-08 -5.10409346e-16],[-5.10409346e-16  1.68929427e-16]
640,[ 7.98252581e-08 -1.83176174e-16],[-1.83176174e-16  1.73173503e-16]
641,[7.93238613e-08 3.57595074e-16],[3.57595074e-16 1.78113721e-16]
642,[7.85107311e-08 4.55800164e-16],[4.55800164e-16 1.81063427e-16]
643,[8.14407262e-08 4.74871259e-16],[4.74871259e-16 1.73748596e-16]
644,[7.83231409e-08 1.52636357e-15],[1.52636357e-15 1.63448982e-16]
645,[7.70280812e-08 2.08143339e-15],[2.08143339e-15 1.71390813e-16]
646,[7.65973176e-08 5.11810643e-16],[5.11810643e-16 1.64999898e-16]
647,[7.73144126e-08 6.50844312e-16],[6.50844312e-16 1.70884999e-16]
648,[ 8.41938727e-08 -5.55509296e-16],[-5.55509296e-16  1.78570233e-16]
649,[ 8.04911392e-08 -1.75195522e-16],[-1.75195522e-16  1.76758382e-16]
650,[7.79744550e-08 2.09649877e-16],[2.09649877e-16 1.73002563e-16]
651,[8.04770249e-08 6.09923680e-16],[6.09923680e-16 1.84126699e-16]
652,[7.37464446e-08 1.50529108e-15],[1.50529108e-15 1.63119922e-16]
653,[8.06999204e-08 9.48975487e-16],[9.48975487e-16 1.86469818e-16]
654,[7.20437821e-08 7.72489343e-16],[7.72489343e-16 1.60040750e-16]
655,[7.95762348e-08 2.85913217e-16],[2.85913217e-16 1.70679918e-16]
656,[ 8.02248922e-08 -1.99696648e-16],[-1.99696648e-16  1.70047273e-16]
657,[7.64028751e-08 7.63418522e-16],[7.63418522e-16 1.65438754e-16]
658,[7.66476413e-08 7.64606481e-16],[7.64606481e-16 1.71110640e-16]
659,[ 7.62515901e-08 -1.02532211e-15],[-1.02532211e-15  1.58446013e-16]
660,[7.66890346e-08 1.36172648e-16],[1.36172648e-16 1.67644526e-16]
661,[7.45360946e-08 8.42011782e-16],[8.42011782e-16 1.58962901e-16]
662,[7.58547505e-08 2.64404513e-16],[2.64404513e-16 1.64927670e-16]
663,[ 7.02200184e-08 -7.10347451e-16],[-7.10347451e-16  1.46566119e-16]
664,[8.13572053e-08 2.27576230e-15],[2.27576230e-15 1.83327155e-16]
665,[ 7.67656527e-08 -9.90773105e-16],[-9.90773105e-16  1.63352590e-16]
666,[ 7.35359157e-08 -2.54473181e-17],[-2.54473181e-17  1.47632091e-16]
667,[ 7.75588476e-08 -8.33026324e-16],[-8.33026324e-16  1.64484509e-16]
668,[7.85234324e-08 2.58048087e-16],[2.58048087e-16 1.57933479e-16]
669,[7.60785285e-08 6.70768468e-18],[6.70768468e-18 1.59673214e-16]
670,[7.76156119e-08 3.54444421e-16],[3.54444421e-16 1.55903441e-16]
671,[7.86624106e-08 9.62534260e-16],[9.62534260e-16 1.67118832e-16]
672,[ 7.79282164e-08 -7.87614757e-16],[-7.87614757e-16  1.54325941e-16]
673,[ 7.48903812e-08 -4.27562601e-16],[-4.27562601e-16  1.43674324e-16]
674,[ 7.17366830e-08 -1.44310603e-15],[-1.44310603e-15  1.51505302e-16]
675,[ 7.78604891e-08 -5.47092687e-16],[-5.47092687e-16  1.52189850e-16]
676,[7.64742960e-08 1.40374193e-15],[1.40374193e-15 1.63241163e-16]
677,[ 8.02724349e-08 -8.93725414e-17],[-8.93725414e-17  1.58508389e-16]
678,[7.95064438e-08 2.07419743e-16],[2.07419743e-16 1.60320970e-16]
679,[ 7.71581429e-08 -3.67652604e-17],[-3.67652604e-17  1.50787636e-16]
680,[ 7.67320908e-08 -1.21322151e-15],[-1.21322151e-15  1.59635490e-16]
681,[7.63131001e-08 3.99656535e-17],[3.99656535e-17 1.50783873e-16]
682,[7.73748325e-08 1.41192281e-15],[1.41192281e-15 1.52530617e-16]
683,[ 7.77143976e-08 -6.53074542e-16],[-6.53074542e-16  1.63587666e-16]
684,[7.72692690e-08 6.31388288e-16],[6.31388288e-16 1.56412722e-16]
685,[ 8.18735322e-08 -6.77067381e-16],[-6.77067381e-16  1.62865958e-16]
686,[ 7.50887805e-08 -6.97292720e-16],[-6.97292720e-16  1.56744472e-16]
687,[7.90642498e-08 4.22358682e-16],[4.22358682e-16 1.58895488e-16]
688,[7.43890915e-08 4.63829010e-16],[4.63829010e-16 1.52168477e-16]
689,[ 7.23496432e-08 -3.26691215e-16],[-3.26691215e-16  1.53568888e-16]
690,[ 7.69118350e-08 -3.23273763e-16],[-3.23273763e-16  1.61421659e-16]
691,[7.23907684e-08 1.25637075e-15],[1.25637075e-15 1.45301572e-16]
692,[ 6.53753352e-08 -2.67180422e-16],[-2.67180422e-16  1.25085089e-16]
693,[7.11795678e-08 2.09204325e-16],[2.09204325e-16 1.40533442e-16]
694,[ 7.10577565e-08 -9.99867573e-16],[-9.99867573e-16  1.57551814e-16]
695,[ 6.98681750e-08 -1.00612541e-15],[-1.00612541e-15  1.44813436e-16]
696,[ 7.03476290e-08 -4.06902297e-16],[-4.06902297e-16  1.44820601e-16]
697,[7.35023387e-08 8.54972177e-16],[8.54972177e-16 1.42022284e-16]
698,[ 7.30324055e-08 -1.33554059e-15],[-1.33554059e-15  1.41880831e-16]
699,[7.33325061e-08 4.68626176e-16],[4.68626176e-16 1.54683514e-16]
,,
