L,cov1,cov2
298,[ 1.37360316e-07 -5.40039168e-15],[-5.40039168e-15  7.47816859e-16]
299,[1.32514386e-07 2.96414963e-15],[2.96414963e-15 6.55494607e-16]
300,[1.39446707e-07 1.29915984e-15],[1.29915984e-15 7.72194194e-16]
301,[1.37965925e-07 4.34398256e-15],[4.34398256e-15 6.33290378e-16]
302,[1.42428553e-07 1.82634255e-15],[1.82634255e-15 7.59845479e-16]
303,[1.39587255e-07 9.86920873e-15],[9.86920873e-15 7.05285828e-16]
304,[1.36647833e-07 7.90854656e-15],[7.90854656e-15 7.31101730e-16]
305,[1.41380657e-07 9.36736737e-16],[9.36736737e-16 7.01839453e-16]
306,[ 1.38367487e-07 -7.45139984e-16],[-7.45139984e-16  7.07520225e-16]
307,[1.32560879e-07 4.10265391e-16],[4.10265391e-16 6.25653158e-16]
308,[ 1.42779245e-07 -5.48986018e-15],[-5.48986018e-15  7.12645073e-16]
309,[1.42893047e-07 5.90159926e-15],[5.90159926e-15 6.95837389e-16]
310,[ 1.37928825e-07 -7.34084632e-16],[-7.34084632e-16  7.37373417e-16]
311,[ 1.40140462e-07 -1.44258196e-15],[-1.44258196e-15  7.03151929e-16]
312,[1.43447475e-07 3.79984488e-16],[3.79984488e-16 7.08214285e-16]
313,[1.45481310e-07 2.44893274e-15],[2.44893274e-15 7.10251527e-16]
314,[ 1.29775066e-07 -1.90426055e-15],[-1.90426055e-15  6.47216285e-16]
315,[ 1.50168319e-07 -5.55092450e-16],[-5.55092450e-16  7.46209731e-16]
316,[1.39195031e-07 2.03723056e-15],[2.03723056e-15 6.45575972e-16]
317,[ 1.33837002e-07 -2.39516980e-16],[-2.39516980e-16  6.43744832e-16]
318,[1.50247105e-07 4.51175926e-15],[4.51175926e-15 7.21195539e-16]
319,[1.40739553e-07 2.70634738e-16],[2.70634738e-16 6.95998083e-16]
320,[1.37833892e-07 4.69782691e-15],[4.69782691e-15 6.20403361e-16]
321,[1.36856997e-07 2.33361519e-15],[2.33361519e-15 6.63664302e-16]
322,[1.35061216e-07 1.60968310e-15],[1.60968310e-15 6.14900166e-16]
323,[1.30269650e-07 4.32521918e-15],[4.32521918e-15 6.38569059e-16]
324,[ 1.27442726e-07 -3.33527030e-15],[-3.33527030e-15  6.10711936e-16]
325,[ 1.29087489e-07 -2.17592611e-15],[-2.17592611e-15  5.67669433e-16]
326,[1.22081144e-07 1.38495894e-15],[1.38495894e-15 6.04298831e-16]
327,[1.28576930e-07 4.78967018e-17],[4.78967018e-17 5.78243145e-16]
328,[ 1.20818381e-07 -9.51787407e-16],[-9.51787407e-16  5.67348320e-16]
329,[ 1.25531971e-07 -1.69237418e-15],[-1.69237418e-15  6.31420104e-16]
330,[ 1.24401527e-07 -2.07289888e-15],[-2.07289888e-15  5.85368778e-16]
331,[1.30787696e-07 3.60738014e-16],[3.60738014e-16 6.24312406e-16]
332,[ 1.25321215e-07 -7.55943475e-16],[-7.55943475e-16  5.91640822e-16]
333,[1.33693075e-07 4.70682968e-15],[4.70682968e-15 6.47346330e-16]
334,[1.29128844e-07 7.89749853e-16],[7.89749853e-16 6.15122991e-16]
335,[1.30517405e-07 2.78304405e-15],[2.78304405e-15 6.00632548e-16]
336,[1.28737106e-07 1.06821593e-15],[1.06821593e-15 6.18685182e-16]
337,[1.28059604e-07 3.01608126e-15],[3.01608126e-15 6.22444706e-16]
338,[1.26198709e-07 4.22389656e-15],[4.22389656e-15 5.85858660e-16]
339,[1.24356725e-07 1.52587513e-15],[1.52587513e-15 6.05530862e-16]
340,[1.35270877e-07 1.04071590e-15],[1.04071590e-15 6.22213299e-16]
341,[ 1.24887621e-07 -4.39623855e-16],[-4.39623855e-16  5.63785288e-16]
342,[ 1.26007900e-07 -2.01667329e-15],[-2.01667329e-15  6.14694605e-16]
343,[1.25892758e-07 2.36264364e-15],[2.36264364e-15 6.22253602e-16]
344,[1.25239586e-07 2.05613717e-15],[2.05613717e-15 5.56381497e-16]
345,[1.28872476e-07 8.62354477e-16],[8.62354477e-16 6.33923956e-16]
346,[1.28312445e-07 2.65777359e-15],[2.65777359e-15 5.84949477e-16]
347,[1.20328899e-07 2.77327668e-15],[2.77327668e-15 5.37267533e-16]
348,[1.30926863e-07 5.41096975e-15],[5.41096975e-15 5.85556257e-16]
349,[ 1.22245928e-07 -2.08326132e-16],[-2.08326132e-16  5.47627645e-16]
350,[1.20413874e-07 3.52679203e-15],[3.52679203e-15 5.03752077e-16]
351,[1.20314352e-07 3.54273982e-15],[3.54273982e-15 5.57990056e-16]
352,[1.22193675e-07 2.71541229e-15],[2.71541229e-15 5.51260054e-16]
353,[1.30073098e-07 3.84523619e-15],[3.84523619e-15 5.88125966e-16]
354,[1.22908628e-07 2.25173746e-16],[2.25173746e-16 5.10985382e-16]
355,[1.27416241e-07 2.39320907e-15],[2.39320907e-15 5.86056240e-16]
